,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000024677,4557.58961,-0.852814441,0.249837839,-3.413471891,0.000641408,0.017024391
ENSMUSG00000030428,54.53940702,1.119794087,0.328134381,3.412608219,0.000643444,0.017024391
ENSMUSG00000070034,1115.297328,-0.485024571,0.142115267,-3.412895597,0.000642766,0.017024391
ENSMUSG00000035150,1188.89857,0.625346048,0.183381735,3.410078157,0.000649443,0.017146396
ENSMUSG00000045039,96.47979239,0.876938621,0.257310866,3.408090125,0.000654193,0.017234982
ENSMUSG00000070520,426.4797208,0.661427996,0.194388547,3.402607844,0.00066746,0.017509844
ENSMUSG00000079339,208.6695513,-1.886157467,0.5543225,-3.402635592,0.000667392,0.017509844
ENSMUSG00000024789,12424.26814,0.699122344,0.205682182,3.399041853,0.000676224,0.01770216
ENSMUSG00000034958,268.5021584,0.973719187,0.286658854,3.396787416,0.000681819,0.017775346
ENSMUSG00000070644,24.54764921,-1.8264283,0.537697768,-3.396756334,0.000681897,0.017775346
ENSMUSG00000031891,82.42428491,1.581491817,0.466039213,3.393473711,0.000690122,0.017942578
ENSMUSG00000067341,62.08427732,-1.940204486,0.571818974,-3.393039712,0.000691216,0.017942578
ENSMUSG00000024431,4782.925509,0.442672753,0.130659962,3.387975528,0.000704105,0.018229713
ENSMUSG00000025034,726.3245796,-0.448164678,0.132298036,-3.387538391,0.000705228,0.018229713
ENSMUSG00000031304,3665.105033,0.669201846,0.19765284,3.385743641,0.000709857,0.018311041
ENSMUSG00000045362,358.131009,-1.135271799,0.33557859,-3.383028094,0.000716913,0.018454535
ENSMUSG00000028214,2318.60577,1.439678594,0.425979601,3.379689052,0.000725679,0.018641346
ENSMUSG00000059013,352.2237301,-0.867993404,0.257116133,-3.375880758,0.000735798,0.018862075
ENSMUSG00000024065,971.4322092,0.975161243,0.289056439,3.373601529,0.000741917,0.018940339
ENSMUSG00000031570,202.6101665,0.667995804,0.197999049,3.373732389,0.000741564,0.018940339
ENSMUSG00000042842,434.770044,0.77827522,0.230753648,3.372753705,0.000744205,0.018946001
ENSMUSG00000045232,73.67309677,1.106448104,0.328090803,3.372383786,0.000745205,0.018946001
ENSMUSG00000026478,2347.675978,0.623197611,0.184852413,3.371325276,0.000748075,0.018979901
ENSMUSG00000051506,168.3156431,-1.887460074,0.55997283,-3.370627956,0.000749971,0.018989012
ENSMUSG00000076770,22.85913648,-2.15618665,0.639997457,-3.369055026,0.000754264,0.019058655
ENSMUSG00000021668,343.4691664,0.608322913,0.180728771,3.365943945,0.000762822,0.019235571
ENSMUSG00000113741,17.99155926,2.24822729,0.668601028,3.362584255,0.000772166,0.019431523
ENSMUSG00000035164,517.9453387,1.299667894,0.386726165,3.360692946,0.000777472,0.01951415
ENSMUSG00000041801,29.26703864,1.709104386,0.508618156,3.360289767,0.000778608,0.01951415
ENSMUSG00000021103,212.0112954,-0.686846693,0.204470218,-3.359152739,0.000781818,0.019554956
ENSMUSG00000021423,35.34206086,-2.416056377,0.719524858,-3.357849764,0.000785513,0.019607673
ENSMUSG00000026483,3206.466336,0.736950676,0.219717298,3.354085825,0.000796277,0.01982802
ENSMUSG00000049086,96.28149508,0.792377794,0.236273695,3.35364372,0.00079755,0.01982802
ENSMUSG00000026388,22.1587479,-1.795011548,0.535598848,-3.351410397,0.000804011,0.019908525
ENSMUSG00000074570,53.95714483,1.084234783,0.32346464,3.351942217,0.000802468,0.019908525
ENSMUSG00000003038,964.1554773,-0.51089787,0.152606771,-3.347806036,0.00081454,0.02006545
ENSMUSG00000031557,2222.826595,0.542394856,0.162017613,3.347752431,0.000814698,0.02006545
ENSMUSG00000044807,27.72939434,-2.060487765,0.61551657,-3.347574811,0.00081522,0.02006545
ENSMUSG00000029378,1233.111383,1.639367534,0.489858511,3.346614376,0.000818049,0.020095062
ENSMUSG00000024899,22.85584004,2.115211287,0.632693459,3.34318501,0.000828227,0.020304699
