,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000024597,627.0203504,0.618275567,0.258390486,2.392795405,0.016720562,0.180007821
ENSMUSG00000034634,75.81287433,-1.59111329,0.664984559,-2.39270712,0.016724585,0.180007821
ENSMUSG00000026926,932.5324695,0.31000554,0.129596404,2.392084421,0.016752988,0.180156593
ENSMUSG00000026972,2163.916974,0.442843301,0.185174334,2.391493957,0.01677996,0.180204603
ENSMUSG00000044005,418.4421052,0.589212046,0.246393241,2.391348252,0.016786622,0.180204603
ENSMUSG00000020027,402.0099539,0.429759578,0.179809527,2.390082361,0.016844595,0.180669978
ENSMUSG00000030167,30.68934105,-1.367852667,0.572600395,-2.388843386,0.016901506,0.181123159
ENSMUSG00000060227,442.7598456,0.572331589,0.239751743,2.387184269,0.016977979,0.181785017
ENSMUSG00000033313,94.89798045,-0.751380066,0.314894394,-2.386133511,0.017026568,0.182147429
ENSMUSG00000101320,31.54550181,-1.097378777,0.459983095,-2.385693714,0.017046942,0.182207625
ENSMUSG00000044250,791.4227817,-0.527606421,0.221210546,-2.38508711,0.017075078,0.182350613
ENSMUSG00000025876,68.5501576,-0.928165344,0.389526735,-2.382802668,0.017181402,0.183169454
ENSMUSG00000049985,183.0201227,-0.583139392,0.244721826,-2.382866304,0.017178432,0.183169454
ENSMUSG00000033735,511.8902851,0.463548766,0.194672567,2.38117149,0.017257676,0.183665669
ENSMUSG00000035851,5105.431997,0.429834197,0.180489734,2.381488339,0.017242837,0.183665669
ENSMUSG00000020868,335.6666389,-0.652582934,0.274284739,-2.379217074,0.017349456,0.184278218
ENSMUSG00000026088,169.9300346,-0.461675905,0.194063529,-2.37899366,0.017359975,0.184278218
ENSMUSG00000055723,928.4806524,-0.414829327,0.174337621,-2.379459604,0.017338043,0.184278218
ENSMUSG00000047507,422.8196654,1.267695698,0.533402025,2.376623334,0.017471919,0.185307327
ENSMUSG00000027562,49.2354627,0.741655666,0.312191454,2.375643715,0.017518369,0.185640623
ENSMUSG00000022106,188.476534,-0.467649703,0.196963469,-2.374296642,0.017582418,0.186159694
ENSMUSG00000051212,1053.394559,0.788783669,0.33231425,2.373607718,0.017615254,0.186347671
ENSMUSG00000002603,7479.523472,0.544265855,0.229384992,2.372717801,0.017657749,0.186611309
ENSMUSG00000023051,427.9991788,-0.408856147,0.172403485,-2.37150744,0.01771569,0.186611309
ENSMUSG00000026878,2625.952238,0.26918805,0.113479984,2.372119204,0.017686384,0.186611309
ENSMUSG00000029408,1070.112588,0.682712567,0.28786429,2.371647303,0.017708986,0.186611309
ENSMUSG00000037344,242.2336535,-0.433104281,0.182604876,-2.371811155,0.017701135,0.186611309
ENSMUSG00000048949,98.68931526,0.915165123,0.386350492,2.368743261,0.017848639,0.187639048
ENSMUSG00000072109,156.3702507,-0.583130296,0.246198993,-2.368532419,0.017858815,0.187639048
ENSMUSG00000091971,130.3082592,1.157781562,0.488785234,2.368691769,0.017851123,0.187639048
ENSMUSG00000005973,407.8962931,-0.513569773,0.216859699,-2.368212149,0.017874283,0.187642008
ENSMUSG00000015745,114.0297391,-0.662850401,0.279943334,-2.367802054,0.017894107,0.187690648
ENSMUSG00000023912,104.3935214,-1.298032195,0.548475896,-2.366616663,0.017951516,0.187823254
ENSMUSG00000073563,1331.282607,0.543445684,0.229631462,2.366599414,0.017952352,0.187823254
ENSMUSG00000075706,2717.489617,0.459536529,0.194130607,2.367151355,0.0179256,0.187823254
ENSMUSG00000024896,302.5018663,-0.365301989,0.154475611,-2.364787474,0.01804042,0.188584967
ENSMUSG00000047821,66.70705719,0.978904482,0.414008342,2.364455938,0.018056575,0.188594288
ENSMUSG00000038065,804.1182135,-1.006181243,0.425616805,-2.364054312,0.018076162,0.188639411
ENSMUSG00000060212,17.19366119,1.382942947,0.585272945,2.362902573,0.018132436,0.189066984
ENSMUSG00000028223,127.7473655,-0.641584817,0.271668534,-2.361645673,0.018194022,0.189389503
ENSMUSG00000042345,4281.13025,0.340542612,0.144194677,2.361686432,0.018192022,0.189389503
ENSMUSG00000006998,3009.418844,0.289549882,0.12265636,2.360659341,0.018242479,0.18941519
ENSMUSG00000032359,87.11744243,-1.155912678,0.489647529,-2.360703586,0.018240303,0.18941519
ENSMUSG00000056413,372.3887113,0.720515457,0.30520681,2.360745021,0.018238266,0.18941519
ENSMUSG00000078349,793.2844882,0.746591207,0.316351001,2.360008993,0.018274492,0.189588265
ENSMUSG00000030165,22.91986705,-1.665423137,0.706425765,-2.357534533,0.018396744,0.190536605
ENSMUSG00000097020,86.05015322,0.664085323,0.281668234,2.357686253,0.018389228,0.190536605
ENSMUSG00000033105,111.1931688,-0.559429233,0.237344423,-2.357035508,0.018421485,0.190633059
ENSMUSG00000081752,173.8155625,0.486158115,0.206307323,2.356475322,0.018449293,0.190761063
ENSMUSG00000029919,59.51282576,-1.013903817,0.430742144,-2.353853299,0.018579942,0.191951309
ENSMUSG00000005803,76.00410292,-0.717666638,0.304989814,-2.353083955,0.01861843,0.192144749
ENSMUSG00000081406,334.5939854,-0.848547681,0.360645577,-2.352857585,0.018629768,0.192144749
ENSMUSG00000021236,342.0246587,-0.55617635,0.236550888,-2.35119113,0.018713419,0.19284654
ENSMUSG00000021033,73.3368713,-0.679718203,0.289149689,-2.350748518,0.018735692,0.192859191
ENSMUSG00000038991,664.9130185,-0.409003184,0.17400344,-2.350546536,0.018745863,0.192859191
ENSMUSG00000097397,112.4798594,0.727989781,0.3097558,2.350205486,0.01876305,0.192875408
ENSMUSG00000020495,441.5399966,0.338108492,0.143989299,2.348150131,0.018866915,0.193336718
ENSMUSG00000030714,177.0733266,-0.493768835,0.210313942,-2.347770343,0.018886162,0.193336718
ENSMUSG00000036599,140.0101721,-0.767749319,0.326919767,-2.34843346,0.018852567,0.193336718
ENSMUSG00000041187,1744.769906,-0.612021423,0.260607276,-2.348443344,0.018852067,0.193336718
ENSMUSG00000090394,2077.524698,0.600000993,0.255550278,2.347878457,0.018880681,0.193336718
ENSMUSG00000112301,20.57751978,1.261460678,0.537453598,2.34710621,0.018919861,0.193521357
ENSMUSG00000036466,56.68679796,0.77045148,0.32858972,2.3447218,0.019041281,0.19460221
ENSMUSG00000060032,260.6769382,-0.411103968,0.175356638,-2.344387833,0.019058342,0.194615599
ENSMUSG00000023079,171.357344,0.552629628,0.23601513,2.341500857,0.019206382,0.195813843
ENSMUSG00000054469,1360.323867,-0.301448665,0.128742708,-2.341481472,0.019207379,0.195813843
ENSMUSG00000021068,2370.849089,-0.36170283,0.154522247,-2.340781589,0.019243421,0.196019545
ENSMUSG00000024913,55.39474668,-0.699689061,0.299113212,-2.339211485,0.019324491,0.196683205
ENSMUSG00000039431,138.0008202,0.644313934,0.275636457,2.33754976,0.019410617,0.197397186
ENSMUSG00000030699,167.5961487,-0.595983594,0.255030708,-2.336909148,0.019443909,0.197573137
ENSMUSG00000027215,5332.692717,0.574418551,0.245961441,2.335400822,0.019522492,0.198045899
ENSMUSG00000101156,29.70173335,0.953783491,0.408374343,2.33556174,0.019514095,0.198045899
ENSMUSG00000019734,82.04803942,-0.663870324,0.284513389,-2.333353544,0.019629597,0.198697376
ENSMUSG00000037318,2116.283505,-0.793265283,0.339901369,-2.333810201,0.019605662,0.198697376
ENSMUSG00000038034,1827.312848,0.488381481,0.209313699,2.333251404,0.019634954,0.198697376
ENSMUSG00000000673,40.65008394,-1.110996021,0.476404748,-2.332042292,0.019698466,0.199014106
ENSMUSG00000029569,936.6052617,0.349274549,0.149757852,2.332262011,0.019686912,0.199014106
ENSMUSG00000025871,1293.801247,0.333678357,0.143201472,2.33013217,0.019799167,0.199217022
ENSMUSG00000035268,38.17049936,-1.070639176,0.459461516,-2.330204249,0.019795359,0.199217022
ENSMUSG00000069769,1392.95692,0.302096045,0.129600917,2.330971509,0.019754862,0.199217022
ENSMUSG00000093686,78.79439553,-1.221087985,0.524026243,-2.330203879,0.019795378,0.199217022
ENSMUSG00000094694,23.20061495,-1.97763864,0.848294964,-2.331310126,0.019737013,0.199217022
ENSMUSG00000003585,29.1176511,0.936688576,0.402218301,2.328806459,0.019869321,0.19959783
ENSMUSG00000032193,592.276424,-0.808975183,0.347353048,-2.328971023,0.019860601,0.19959783
ENSMUSG00000062075,409.8359564,0.376559606,0.161789389,2.327467884,0.019940376,0.200148896
ENSMUSG00000020273,870.054554,0.370210562,0.159127804,2.326498285,0.019991984,0.20050402
ENSMUSG00000024740,6290.908791,0.344051609,0.14795007,2.325457564,0.020047507,0.200735001
ENSMUSG00000025358,534.8195506,-0.392585426,0.168814207,-2.325547318,0.020042713,0.200735001
ENSMUSG00000097990,332.3069005,0.57459133,0.24712492,2.32510477,0.020066359,0.200761075
ENSMUSG00000042524,6084.252439,-0.437682317,0.18860717,-2.320602746,0.020308294,0.202935725
ENSMUSG00000109005,116.0024893,0.606241729,0.261260455,2.32044964,0.020316566,0.202935725
ENSMUSG00000024007,626.8486734,-0.358573207,0.154595256,-2.319432152,0.020371616,0.203211486
ENSMUSG00000048621,20.49924139,-1.824929173,0.786925269,-2.319062869,0.020391628,0.203211486
ENSMUSG00000053469,134.4787346,1.023341506,0.441280339,2.319028101,0.020393513,0.203211486
ENSMUSG00000000244,1297.313482,-0.646566317,0.279103589,-2.316581879,0.020526519,0.204372018
ENSMUSG00000027784,537.2086138,0.482678996,0.208882089,2.310772547,0.020845422,0.206383037
ENSMUSG00000034449,248.3319364,0.418822058,0.181113026,2.312489986,0.020750697,0.206383037
ENSMUSG00000038256,222.3713778,-0.877935821,0.379759916,-2.311818031,0.020787713,0.206383037
ENSMUSG00000039100,2332.522104,0.252110844,0.109081134,2.311223164,0.020820532,0.206383037
ENSMUSG00000039680,368.7197856,0.554814057,0.240078047,2.310973719,0.020834307,0.206383037
ENSMUSG00000045573,1798.012825,0.733276007,0.317249067,2.311357488,0.020813117,0.206383037
ENSMUSG00000105941,15.0023397,-1.551914773,0.671515398,-2.311063569,0.020829344,0.206383037
ENSMUSG00000024691,379.0693284,-0.390771611,0.169215951,-2.309307187,0.020926541,0.20702029
ENSMUSG00000003949,212.9655682,0.847993294,0.367552206,2.307136999,0.021047184,0.207549086
ENSMUSG00000028982,117.7023457,0.72887568,0.315911001,2.307218419,0.021042647,0.207549086
ENSMUSG00000043629,27.60722214,1.276876597,0.553310935,2.30770172,0.021015732,0.207549086
ENSMUSG00000103527,114.2979688,-0.742884872,0.321891368,-2.307874475,0.021006119,0.207549086
ENSMUSG00000039994,331.6862534,-0.448837822,0.194593747,-2.306537746,0.021080604,0.207712869
ENSMUSG00000094796,49.67489308,-0.924418887,0.400852963,-2.306129609,0.021103391,0.207771715
ENSMUSG00000004187,182.8756579,-0.507121074,0.219992823,-2.305170989,0.021156999,0.208110329
ENSMUSG00000030393,35.48515885,1.110577641,0.481891742,2.304620613,0.02118783,0.208110329
ENSMUSG00000056537,2479.870084,0.303201917,0.131566715,2.304548816,0.021191855,0.208110329
ENSMUSG00000079941,86.31966868,0.759139989,0.329443281,2.304311646,0.021205156,0.208110329
ENSMUSG00000027429,1195.02477,0.374870462,0.162717456,2.303812211,0.021233187,0.20822005
ENSMUSG00000018537,78.85541144,0.632705542,0.274909884,2.301501615,0.021363294,0.209204013
ENSMUSG00000064370,45365.26748,-0.358893907,0.155943935,-2.301429085,0.021367389,0.209204013
ENSMUSG00000032412,4207.023242,-0.330320878,0.143571832,-2.300735966,0.02140656,0.209421578
ENSMUSG00000052593,1416.726658,0.263370053,0.11452301,2.299712976,0.021464487,0.209822148
ENSMUSG00000024851,5943.571238,0.268262774,0.116693565,2.298865176,0.021512596,0.209832924
ENSMUSG00000029072,58.75867003,0.764598334,0.332651438,2.298497008,0.021533518,0.209832924
ENSMUSG00000060002,64.57060873,-0.703868661,0.306193474,-2.298770947,0.021517949,0.209832924
ENSMUSG00000094090,139.6347102,0.532724159,0.231693887,2.299258585,0.02149026,0.209832924
ENSMUSG00000020462,186.5535814,0.437497731,0.190631751,2.294988784,0.021733767,0.211450729
ENSMUSG00000038175,559.1715934,-0.328602397,0.14317052,-2.29518198,0.021722697,0.211450729
ENSMUSG00000021427,1952.414804,0.301733931,0.131511832,2.294348172,0.021770508,0.211641536
ENSMUSG00000043487,143.0593908,0.629882421,0.274609177,2.293741335,0.021805361,0.211647321
ENSMUSG00000070284,364.5856271,0.490292152,0.213743906,2.293829847,0.021800274,0.211647321
ENSMUSG00000028156,1308.274441,0.452045944,0.197144334,2.292969497,0.021849761,0.211911812
ENSMUSG00000058260,17.53301357,-1.705032127,0.743700187,-2.292633721,0.021869101,0.211933032
ENSMUSG00000003546,422.622559,-0.475412585,0.207527815,-2.290837905,0.02197279,0.212407835
ENSMUSG00000014609,280.7596989,0.867274753,0.37872238,2.290001328,0.02202124,0.212407835
ENSMUSG00000028454,433.4568468,-0.441683782,0.192830946,-2.290523336,0.021990997,0.212407835
ENSMUSG00000030796,19.3481791,-1.295494054,0.56566536,-2.29021281,0.022008983,0.212407835
ENSMUSG00000032440,3792.986681,-0.339852836,0.148330419,-2.291187727,0.021952558,0.212407835
ENSMUSG00000035735,17.4929765,1.304861892,0.569484682,2.291302879,0.021945902,0.212407835
ENSMUSG00000097993,365.7510677,-1.121922022,0.490103976,-2.289151032,0.022070579,0.212717683
ENSMUSG00000021559,67.64670431,-1.019769429,0.445867962,-2.287155654,0.022186739,0.213504168
ENSMUSG00000044199,1255.419839,-0.502978412,0.219910731,-2.287193585,0.022184526,0.213504168
ENSMUSG00000040557,29.08266415,-1.021449505,0.446698929,-2.286662088,0.022215554,0.213615087
ENSMUSG00000021890,1209.785847,0.280886252,0.12290119,2.285464057,0.022285632,0.213789802
ENSMUSG00000052727,18.13428487,1.450178473,0.634490035,2.285581163,0.022278773,0.213789802
ENSMUSG00000053702,105.4824523,0.837521785,0.366362782,2.286044942,0.022251629,0.213789802
ENSMUSG00000028161,840.7025902,-0.32813508,0.143617723,-2.284781241,0.022325658,0.214007628
ENSMUSG00000026580,26.42082054,-1.270852603,0.556356688,-2.284240724,0.022357387,0.214145642
ENSMUSG00000109279,53.31677787,0.65804521,0.288219354,2.28314026,0.022422108,0.214599197
ENSMUSG00000067370,148.7483012,-0.498437111,0.218359842,-2.282640922,0.022451528,0.214714462
ENSMUSG00000036356,36.46016178,1.269925226,0.556438218,2.282239402,0.02247521,0.214774706
ENSMUSG00000059479,28.72913404,-1.008893452,0.442137394,-2.281855064,0.022497899,0.214825374
ENSMUSG00000051124,1454.002232,-0.397562717,0.174302679,-2.280875545,0.022555812,0.21521206
ENSMUSG00000021242,3670.944107,-0.430164145,0.188726104,-2.279303906,0.022649006,0.215934505
ENSMUSG00000017548,1863.230481,0.368560646,0.161753707,2.27852983,0.022695029,0.216100254
ENSMUSG00000027487,370.9481092,0.76590346,0.336155035,2.278423288,0.02270137,0.216100254
ENSMUSG00000022885,1906.512768,-0.48071352,0.211231046,-2.275771149,0.02285971,0.217272755
ENSMUSG00000104156,114.3781542,-0.713085654,0.313322312,-2.275885334,0.022852873,0.217272755
ENSMUSG00000028435,75.9770317,-0.953138253,0.419203034,-2.27369121,0.022984559,0.218224911
ENSMUSG00000106149,160.0503883,0.564516431,0.248301256,2.273514197,0.022995212,0.218224911
ENSMUSG00000002068,81.42491068,-0.800187789,0.352313158,-2.271240151,0.023132444,0.218854884
ENSMUSG00000018398,117.4619785,0.651254738,0.286732857,2.271294417,0.023129161,0.218854884
ENSMUSG00000064254,107.6096536,-0.49565699,0.218193834,-2.271636101,0.023108499,0.218854884
ENSMUSG00000099876,15.7013268,-2.402696627,1.057534009,-2.271980483,0.023087689,0.218854884
ENSMUSG00000022974,2366.251693,0.339245784,0.149405648,2.2706356,0.023169047,0.21892711
ENSMUSG00000045962,15902.68353,0.467470464,0.205886159,2.270528852,0.023175515,0.21892711
ENSMUSG00000110902,121.6499434,0.713550847,0.314465217,2.269093075,0.023262666,0.21958251
ENSMUSG00000035936,50.93360136,0.805959114,0.355467752,2.267319919,0.02337069,0.220433771
ENSMUSG00000025402,546.1930764,-0.535203288,0.23614731,-2.266395874,0.023427156,0.220797818
ENSMUSG00000041180,54.02296919,0.726439405,0.320899771,2.263757943,0.023589007,0.222153784
ENSMUSG00000032382,1072.075901,0.276243698,0.122273014,2.259236841,0.023868656,0.224551953
ENSMUSG00000078700,234.567047,0.963982083,0.42671928,2.259054436,0.023879999,0.224551953
ENSMUSG00000032109,167.4490999,0.447591144,0.198206052,2.258211289,0.02393249,0.224703529
ENSMUSG00000062456,346.0060159,-0.462945941,0.204990957,-2.258372498,0.023922446,0.224703529
ENSMUSG00000108042,96.5597948,0.754850385,0.334380961,2.257456237,0.023979581,0.224974718
ENSMUSG00000084860,24.12307531,-1.007187553,0.446645545,-2.255004139,0.024133069,0.226242944
ENSMUSG00000021548,225.6321882,-0.378079232,0.167706913,-2.25440457,0.024170728,0.226424197
ENSMUSG00000035095,151.602859,1.414091321,0.627819408,2.252385482,0.024297922,0.227443279
ENSMUSG00000084883,58.64400005,-0.680338082,0.302184159,-2.251402204,0.024360075,0.227852447
ENSMUSG00000030930,267.5130052,-0.569513962,0.253313498,-2.248257458,0.024559778,0.229546607
ENSMUSG00000034880,121.2784565,-0.524181944,0.233252133,-2.247276098,0.024622387,0.229957838
ENSMUSG00000020393,532.7685975,-0.381624999,0.169888697,-2.246323656,0.024683284,0.230197916
ENSMUSG00000042015,174.3389756,-0.43861815,0.195263253,-2.246291318,0.024685354,0.230197916
ENSMUSG00000028211,10656.48764,0.315091281,0.140301536,2.24581491,0.024715866,0.230308627
ENSMUSG00000020534,148.1141359,-0.434726144,0.193724512,-2.244043051,0.024829632,0.231194369
ENSMUSG00000060771,32.25533951,-1.304816323,0.581628581,-2.243384122,0.024872055,0.231414993
ENSMUSG00000024556,828.0498997,-0.33454362,0.149230252,-2.241794918,0.02497463,0.231565374
ENSMUSG00000027907,760.3171652,0.626570822,0.279540672,2.241429911,0.024998241,0.231565374
ENSMUSG00000042505,19.15941102,-1.104982976,0.492889277,-2.241848274,0.02497118,0.231565374
ENSMUSG00000061723,36.16739634,-1.100810394,0.490912045,-2.242378048,0.024936949,0.231565374
ENSMUSG00000085492,251.5615214,0.902308941,0.402566242,2.241392462,0.025000664,0.231565374
ENSMUSG00000097855,83.6964573,0.586667331,0.261643007,2.2422435,0.024945639,0.231565374
ENSMUSG00000027456,1210.623042,0.757240484,0.338010343,2.240287909,0.025072238,0.232054359
ENSMUSG00000022553,2219.08012,-0.300473337,0.134147204,-2.239877751,0.02509886,0.232126886
ENSMUSG00000102953,118.3336601,0.79621726,0.355538686,2.239467298,0.025125527,0.232199707
ENSMUSG00000032458,2000.641508,0.276370119,0.123459403,2.238550579,0.025185173,0.232576978
ENSMUSG00000090024,27.24130604,0.933343532,0.417145229,2.237454651,0.02525664,0.233062767
ENSMUSG00000020227,122.5466971,-0.544985879,0.243638822,-2.236859765,0.025295507,0.233247227
ENSMUSG00000024528,349.0239701,-0.384212199,0.171837299,-2.235906886,0.025357871,0.233314485
ENSMUSG00000030718,940.1933055,0.321345633,0.143739807,2.235606408,0.025377564,0.233314485
ENSMUSG00000031995,114.665413,0.877768667,0.392542038,2.236113798,0.025344318,0.233314485
ENSMUSG00000068246,137.0622827,-0.747089856,0.334179471,-2.235594705,0.025378332,0.233314485
ENSMUSG00000030256,70.35042048,0.964741392,0.431803249,2.234215222,0.025468915,0.233799344
ENSMUSG00000050107,205.3995533,0.517133156,0.231458959,2.234232622,0.025467771,0.233799344
ENSMUSG00000022799,7935.254371,0.672313805,0.301126066,2.232665588,0.025571005,0.234562244
ENSMUSG00000030059,935.2221018,0.290288355,0.130079831,2.23161694,0.025640291,0.235023321
ENSMUSG00000026121,235.0870222,1.084403529,0.486099251,2.230827401,0.025692564,0.23532789
ENSMUSG00000087528,119.3999517,0.523427053,0.23473303,2.229882402,0.025755251,0.235727319
ENSMUSG00000016529,630.8885549,-0.909815661,0.408169217,-2.229015867,0.025812849,0.236079617
ENSMUSG00000061589,6691.775297,0.513607178,0.230490763,2.228320003,0.025859183,0.236328454
ENSMUSG00000030641,137.1609411,0.572615376,0.257016091,2.227935894,0.02588479,0.236387633
ENSMUSG00000045932,229.0901896,-0.709957742,0.318904177,-2.226241587,0.025998004,0.237246185
ENSMUSG00000006395,154.2418319,-0.44118309,0.198213262,-2.225800063,0.026027577,0.237340765
ENSMUSG00000026632,44.76788215,-0.73815775,0.331867856,-2.22425202,0.026131493,0.23793716
ENSMUSG00000029438,303.0813536,-0.430011239,0.193305718,-2.224513806,0.026113895,0.23793716
ENSMUSG00000034088,3630.873912,0.294713438,0.132608826,2.22242702,0.026254461,0.238880795
ENSMUSG00000035849,64.57669599,0.72389165,0.325786076,2.22198462,0.026284345,0.238976723
ENSMUSG00000033987,256.4738221,0.523059121,0.235450417,2.221525561,0.026315385,0.239083016
ENSMUSG00000003882,3676.525999,0.376890481,0.170017475,2.216774962,0.026638473,0.241840541
ENSMUSG00000061461,173.4935916,-0.542938034,0.245032366,-2.215780892,0.026706512,0.242280219
ENSMUSG00000015452,51.76153039,-1.285477777,0.580278446,-2.215277484,0.026741024,0.242415331
ENSMUSG00000032220,1458.318664,0.461806646,0.208571463,2.214141091,0.026819075,0.242944639
ENSMUSG00000020608,1124.944011,-0.472236149,0.213372367,-2.213201998,0.026883722,0.243351849
ENSMUSG00000039841,496.3990773,0.345763083,0.156365272,2.211252409,0.027018363,0.244391576
ENSMUSG00000023755,108.0125378,-0.528491595,0.239088083,-2.210447248,0.027074138,0.244716932
ENSMUSG00000020902,106.3956112,-0.605704504,0.274265914,-2.208457098,0.027212425,0.245310422
ENSMUSG00000030956,1304.297124,-0.72304752,0.327456095,-2.208074705,0.027239066,0.245310422
ENSMUSG00000053453,649.1889849,0.449216476,0.203435762,2.208149006,0.027233888,0.245310422
ENSMUSG00000091957,44.53391531,-1.127924193,0.510555061,-2.209211658,0.027159922,0.245310422
ENSMUSG00000104814,212.5196564,0.528470246,0.239305611,2.208348748,0.027219972,0.245310422
ENSMUSG00000026019,173.7645158,-0.459363079,0.208154786,-2.206834098,0.027325652,0.245910965
ENSMUSG00000058979,1073.335253,-0.380507981,0.172494704,-2.205911091,0.027390226,0.246312683
ENSMUSG00000060591,32.78005028,0.914671156,0.41482069,2.204979591,0.027455527,0.246720355
ENSMUSG00000053580,81.55423183,-0.790116963,0.358407601,-2.204520663,0.027487748,0.246830392
ENSMUSG00000021240,247.6557913,-0.643976492,0.292315304,-2.203020107,0.027593332,0.247239452
ENSMUSG00000040724,39.37634841,-1.541288121,0.69950831,-2.203387865,0.027567423,0.247239452
ENSMUSG00000046157,407.6307849,-0.620550584,0.281679205,-2.203040099,0.027591922,0.247239452
ENSMUSG00000002307,789.9694045,-0.336919189,0.152996879,-2.202131129,0.027656047,0.247263472
ENSMUSG00000023495,232.9007192,-0.505155835,0.229367097,-2.202390145,0.027637761,0.247263472
ENSMUSG00000035944,260.8775969,-0.604695126,0.274548696,-2.202505912,0.027629592,0.247263472
ENSMUSG00000020156,987.4649394,-0.390256736,0.17726396,-2.20155714,0.027696606,0.247447048
ENSMUSG00000105742,112.1285333,0.523649197,0.237928112,2.200871488,0.027745123,0.247701401
ENSMUSG00000071068,315.0158608,-0.724692,0.329373069,-2.200216316,0.027791551,0.247936756
ENSMUSG00000043592,147.9569279,0.457815404,0.208133073,2.199628332,0.027833275,0.248129834
ENSMUSG00000051705,21.37076041,-1.553902807,0.707118526,-2.197513923,0.027983763,0.249291549
ENSMUSG00000025212,1186.824341,-0.514830397,0.234319269,-2.197132138,0.02801101,0.2493545
ENSMUSG00000020121,15.83454631,-1.292979356,0.588602476,-2.196693708,0.028042329,0.249453572
ENSMUSG00000025142,402.0076007,-0.448174646,0.204079827,-2.196075201,0.028086561,0.249487815
ENSMUSG00000075595,707.6717061,-0.625607788,0.284840335,-2.196345505,0.028067223,0.249487815
ENSMUSG00000012117,373.2683979,-0.318459237,0.145065909,-2.195272754,0.028144038,0.249818775
ENSMUSG00000063382,1763.682106,-0.51101541,0.232984477,-2.193345316,0.028282509,0.250867682
ENSMUSG00000038055,376.5866046,0.481058841,0.219415476,2.192456293,0.028346576,0.251255588
ENSMUSG00000021831,754.4061289,0.467893306,0.213439921,2.192154601,0.028368345,0.251268297
ENSMUSG00000117975,1256.889239,-0.356867652,0.162842411,-2.191490839,0.028416292,0.251512681
ENSMUSG00000039156,1131.246771,-0.300101257,0.136957051,-2.191207059,0.028436812,0.251514137
ENSMUSG00000021185,121.8567497,0.620898312,0.283463095,2.190402639,0.028495049,0.251848944
ENSMUSG00000025372,1118.150975,0.380343864,0.173692643,2.189752299,0.028542206,0.252085415
ENSMUSG00000031176,588.624672,0.302868817,0.13837183,2.188804014,0.028611088,0.252333049
ENSMUSG00000066363,62.84344499,0.712045271,0.325306061,2.188847228,0.028607946,0.252333049
ENSMUSG00000020612,11286.47842,0.352537397,0.161136484,2.1878186,0.028682818,0.252605064
ENSMUSG00000074994,387.872982,-0.580262927,0.265190516,-2.188098341,0.02866244,0.252605064
ENSMUSG00000026436,3172.809233,-0.27614125,0.126266362,-2.186974002,0.028744422,0.252967292
ENSMUSG00000050705,242.714281,-0.425535474,0.194608147,-2.186627229,0.028769748,0.253009968
ENSMUSG00000002233,121.764129,0.651500724,0.298172246,2.184981104,0.028890232,0.253808853
ENSMUSG00000021451,4252.540209,0.534337172,0.24456748,2.184825116,0.028901672,0.253808853
ENSMUSG00000039701,332.0092261,-0.415085104,0.190015788,-2.184476928,0.028927221,0.253852799
ENSMUSG00000028114,297.8333726,-0.437916123,0.200623358,-2.182777361,0.02905221,0.254768703
ENSMUSG00000025465,262.4633268,-0.375341451,0.17202324,-2.18192292,0.029115222,0.254959378
ENSMUSG00000043336,265.2475946,-0.378322763,0.17337126,-2.182153846,0.02909818,0.254959378
ENSMUSG00000085887,381.7535329,-0.738664832,0.33861543,-2.181426974,0.02915185,0.255099336
ENSMUSG00000021550,435.9618038,0.391675142,0.179632372,2.180426271,0.029225879,0.25556614
ENSMUSG00000064337,4223.086943,-0.440018874,0.201895183,-2.179442162,0.029298837,0.255841999
ENSMUSG00000087502,337.7864389,0.606471975,0.278248681,2.179604135,0.029286818,0.255841999
ENSMUSG00000037224,78.33809098,-0.729167289,0.334636737,-2.178981587,0.029333036,0.255959741
ENSMUSG00000027259,94.52174203,-0.523220034,0.240160326,-2.178628101,0.029359307,0.256008184
ENSMUSG00000087263,21.5100993,1.158280147,0.531743015,2.178270547,0.029385901,0.256059371
ENSMUSG00000041417,4286.873329,-0.228578208,0.104974608,-2.177461892,0.029446122,0.256403302
ENSMUSG00000038740,276.4714816,-0.408257593,0.187560524,-2.176671218,0.029505107,0.25673599
ENSMUSG00000025359,191.8952885,-0.697429494,0.320553583,-2.175703316,0.029577452,0.257184376
ENSMUSG00000032741,639.5031328,-0.740553929,0.340480464,-2.175026196,0.029628153,0.257444067
ENSMUSG00000022905,4247.697439,0.563896444,0.259309958,2.174603894,0.029659812,0.257538047
ENSMUSG00000002578,3492.705298,0.387056406,0.178019162,2.174240131,0.029687106,0.257594018
ENSMUSG00000039783,22.24891922,-1.593491423,0.733472391,-2.172530884,0.029815643,0.258527776
ENSMUSG00000021061,126.3260242,0.664062169,0.30576246,2.171823739,0.02986896,0.258651215
ENSMUSG00000113831,223.6232082,-0.534792816,0.246245537,-2.171786835,0.029871745,0.258651215
ENSMUSG00000037089,631.3938775,0.393684321,0.181307214,2.171366009,0.029903516,0.25874499
ENSMUSG00000021263,40.84928957,-1.330390432,0.613135645,-2.169814204,0.030020924,0.259176173
ENSMUSG00000034573,1518.684332,0.610827843,0.281478075,2.170072546,0.030001351,0.259176173
ENSMUSG00000045005,558.1213759,0.484597157,0.223281288,2.170343793,0.029980811,0.259176173
